,trip_master_id,estimated_dt,mindiff,smoothed,closure_percent,pull_timestamp,yy,mm,dd,DayOfWeek,hh,mi,minute_col,dy
140,7361,75,412,100,0,2023-01-28 06:52:00,2023,1,28,6,6,52,06:52:00,28
141,7361,69,416,100,0,2023-01-28 06:56:00,2023,1,28,6,6,56,06:56:00,28
142,7361,92,418,100,0,2023-01-28 06:58:00,2023,1,28,6,6,58,06:58:00,28
143,7361,86,420,100,0,2023-01-28 07:00:00,2023,1,28,6,7,0,07:00:00,28
144,7361,430,1280,100,0,2023-01-28 21:20:00,2023,1,28,6,21,20,21:20:00,28
145,7361,315,1286,100,0,2023-01-28 21:26:00,2023,1,28,6,21,26,21:26:00,28
146,7361,280,1288,100,0,2023-01-28 21:28:00,2023,1,28,6,21,28,21:28:00,28
147,7361,233,1294,100,0,2023-01-28 21:34:00,2023,1,28,6,21,34,21:34:00,28
148,7361,143,708,100,0,2023-01-28 11:48:00,2023,1,28,6,11,48,11:48:00,28
149,7361,97,710,100,0,2023-01-28 11:50:00,2023,1,28,6,11,50,11:50:00,28
150,7361,138,712,100,0,2023-01-28 11:52:00,2023,1,28,6,11,52,11:52:00,28
151,7361,138,714,100,0,2023-01-28 11:54:00,2023,1,28,6,11,54,11:54:00,28
152,7361,137,716,100,0,2023-01-28 11:56:00,2023,1,28,6,11,56,11:56:00,28
153,7361,86,994,100,0,2023-01-28 16:34:00,2023,1,28,6,16,34,16:34:00,28
154,7361,86,992,100,0,2023-01-28 16:32:00,2023,1,28,6,16,32,16:32:00,28
155,7361,241,996,100,0,2023-01-28 16:36:00,2023,1,28,6,16,36,16:36:00,28
156,7361,241,998,100,0,2023-01-28 16:38:00,2023,1,28,6,16,38,16:38:00,28
157,7361,156,1000,100,0,2023-01-28 16:40:00,2023,1,28,6,16,40,16:40:00,28
158,7361,156,1002,100,0,2023-01-28 16:42:00,2023,1,28,6,16,42,16:42:00,28
159,7361,253,728,100,0,2023-01-28 12:08:00,2023,1,28,6,12,8,12:08:00,28
160,7361,160,1004,100,0,2023-01-28 16:44:00,2023,1,28,6,16,44,16:44:00,28
161,7361,255,1008,100,0,2023-01-28 16:48:00,2023,1,28,6,16,48,16:48:00,28
162,7361,88,424,100,0,2023-01-28 07:04:00,2023,1,28,6,7,4,07:04:00,28
163,7361,88,426,100,0,2023-01-28 07:06:00,2023,1,28,6,7,6,07:06:00,28
164,7361,84,430,100,0,2023-01-28 07:10:00,2023,1,28,6,7,10,07:10:00,28
165,7361,170,1302,100,0,2023-01-28 21:42:00,2023,1,28,6,21,42,21:42:00,28
166,7361,285,1304,100,0,2023-01-28 21:44:00,2023,1,28,6,21,44,21:44:00,28
167,7361,283,1306,100,0,2023-01-28 21:46:00,2023,1,28,6,21,46,21:46:00,28
168,7361,280,1308,100,0,2023-01-28 21:48:00,2023,1,28,6,21,48,21:48:00,28
169,7361,280,1310,100,0,2023-01-28 21:50:00,2023,1,28,6,21,50,21:50:00,28
170,7361,283,1312,100,0,2023-01-28 21:52:00,2023,1,28,6,21,52,21:52:00,28
171,7361,283,1314,100,0,2023-01-28 21:54:00,2023,1,28,6,21,54,21:54:00,28
172,7361,126,224,100,0,2023-01-28 03:44:00,2023,1,28,6,3,44,03:44:00,28
173,7361,129,222,100,0,2023-01-28 03:42:00,2023,1,28,6,3,42,03:42:00,28
174,7361,101,232,100,0,2023-01-28 03:52:00,2023,1,28,6,3,52,03:52:00,28
175,7361,101,234,100,0,2023-01-28 03:54:00,2023,1,28,6,3,54,03:54:00,28
176,7361,69,236,100,0,2023-01-28 03:56:00,2023,1,28,6,3,56,03:56:00,28
177,7361,146,730,100,0,2023-01-28 12:10:00,2023,1,28,6,12,10,12:10:00,28
178,7361,88,736,100,0,2023-01-28 12:16:00,2023,1,28,6,12,16,12:16:00,28
179,7361,289,1012,100,0,2023-01-28 16:52:00,2023,1,28,6,16,52,16:52:00,28
180,7361,98,740,100,0,2023-01-28 12:20:00,2023,1,28,6,12,20,12:20:00,28
181,7361,288,1016,100,0,2023-01-28 16:56:00,2023,1,28,6,16,56,16:56:00,28
182,7361,291,1020,100,0,2023-01-28 17:00:00,2023,1,28,6,17,0,17:00:00,28
183,7361,404,1024,100,0,2023-01-28 17:04:00,2023,1,28,6,17,4,17:04:00,28
184,7361,60,440,100,0,2023-01-28 07:20:00,2023,1,28,6,7,20,07:20:00,28
185,7361,57,444,100,0,2023-01-28 07:24:00,2023,1,28,6,7,24,07:24:00,28
186,7361,56,448,100,0,2023-01-28 07:28:00,2023,1,28,6,7,28,07:28:00,28
187,7361,282,1316,100,0,2023-01-28 21:56:00,2023,1,28,6,21,56,21:56:00,28
188,7361,279,1318,100,0,2023-01-28 21:58:00,2023,1,28,6,21,58,21:58:00,28
189,7361,99,1322,100,0,2023-01-28 22:02:00,2023,1,28,6,22,2,22:02:00,28
190,7361,108,1324,100,0,2023-01-28 22:04:00,2023,1,28,6,22,4,22:04:00,28
191,7361,140,1330,100,0,2023-01-28 22:10:00,2023,1,28,6,22,10,22:10:00,28
192,7361,69,238,100,0,2023-01-28 03:58:00,2023,1,28,6,3,58,03:58:00,28
193,7361,103,742,100,0,2023-01-28 12:22:00,2023,1,28,6,12,22,12:22:00,28
194,7361,69,244,100,0,2023-01-28 04:04:00,2023,1,28,6,4,4,04:04:00,28
195,7361,93,746,100,0,2023-01-28 12:26:00,2023,1,28,6,12,26,12:26:00,28
196,7361,69,246,100,0,2023-01-28 04:06:00,2023,1,28,6,4,6,04:06:00,28
197,7361,71,248,100,0,2023-01-28 04:08:00,2023,1,28,6,4,8,04:08:00,28
198,7361,436,1028,100,0,2023-01-28 17:08:00,2023,1,28,6,17,8,17:08:00,28
199,7361,447,1030,100,0,2023-01-28 17:10:00,2023,1,28,6,17,10,17:10:00,28
200,7361,448,1032,100,0,2023-01-28 17:12:00,2023,1,28,6,17,12,17:12:00,28
201,7361,448,1034,100,0,2023-01-28 17:14:00,2023,1,28,6,17,14,17:14:00,28
202,7361,136,1036,100,0,2023-01-28 17:16:00,2023,1,28,6,17,16,17:16:00,28
203,7361,122,1040,100,0,2023-01-28 17:20:00,2023,1,28,6,17,20,17:20:00,28
204,7361,241,758,100,0,2023-01-28 12:38:00,2023,1,28,6,12,38,12:38:00,28
205,7361,242,760,100,0,2023-01-28 12:40:00,2023,1,28,6,12,40,12:40:00,28
206,7361,63,454,100,0,2023-01-28 07:34:00,2023,1,28,6,7,34,07:34:00,28
207,7361,114,1044,100,0,2023-01-28 17:24:00,2023,1,28,6,17,24,17:24:00,28
208,7361,55,460,100,0,2023-01-28 07:40:00,2023,1,28,6,7,40,07:40:00,28
209,7361,55,464,100,0,2023-01-28 07:44:00,2023,1,28,6,7,44,07:44:00,28
210,7361,117,468,100,0,2023-01-28 07:48:00,2023,1,28,6,7,48,07:48:00,28
211,7361,95,470,100,0,2023-01-28 07:50:00,2023,1,28,6,7,50,07:50:00,28
212,7361,300,1334,100,0,2023-01-28 22:14:00,2023,1,28,6,22,14,22:14:00,28
213,7361,281,1332,100,0,2023-01-28 22:12:00,2023,1,28,6,22,12,22:12:00,28
214,7361,95,474,100,0,2023-01-28 07:54:00,2023,1,28,6,7,54,07:54:00,28
215,7361,280,1336,100,0,2023-01-28 22:16:00,2023,1,28,6,22,16,22:16:00,28
216,7361,277,1338,100,0,2023-01-28 22:18:00,2023,1,28,6,22,18,22:18:00,28
217,7361,279,1340,100,0,2023-01-28 22:20:00,2023,1,28,6,22,20,22:20:00,28
